CVEGEO,POBTOT,POBFEM,P_15A49_F,AB,C_MAS,C,C_MENOS,D_MAS,D,E,NSE,NSE_2,VIVIENDAS
2000100010039,719,417,214,0,0,0,0,7,47,157,E,E,215
2000200010178,"1,125",585,302,5,23,25,45,43,130,80,D,D,351
2000200010233,915,498,252,10,34,29,40,31,99,35,D,D,278
2000200010248,"1,265",651,324,0,15,20,37,41,140,112,D,D,367
2000200010394,"1,054",551,276,16,38,29,35,30,122,58,D,D,328
2000200010430,8,6,4,0,0,0,0,0,0,5,E,E,6
2000200120093,"2,308","1,173",591,0,0,4,10,37,336,268,D,D,655
2000200370252,595,316,154,0,8,10,22,29,78,55,D,D,203
2000200370267,874,448,214,9,18,33,30,43,99,47,D,D,279
2000200370271,676,352,178,0,0,5,13,30,97,82,D,D,228
2000200370360,259,129,57,0,3,0,5,4,35,39,E,E,88
2000200370375,11,6,5,0,0,3,0,0,8,3,D,D,20
2000200370407,74,36,19,0,0,0,0,3,10,17,E,E,36
2000200370411,188,101,54,0,0,0,0,0,22,28,E,E,54
2000200370426,23,14,9,0,0,0,0,0,6,3,D,D,10
2000200370445,42,22,13,0,0,0,0,0,8,3,D,D,11
2000200390286,842,439,209,4,8,12,19,34,104,95,D,D,276
2000200390290,600,301,152,0,4,4,10,27,65,76,E,E,186
2000200390303,"1,290",699,351,9,31,41,50,52,133,53,D,D,369
2000200390318,"1,246",634,324,3,13,29,27,62,150,95,D,D,379
2000200390322,740,402,196,5,16,30,49,45,63,16,D,D,224
2000200390337,695,371,176,7,13,30,41,45,53,21,D,D,210
2000200390479,27,14,6,0,0,0,0,0,7,0,D,D,10
2000300010052,418,218,84,0,3,0,9,9,62,94,E,E,181
2000300010067,206,113,52,0,0,0,0,0,19,54,E,E,79
2000400010030,396,201,105,0,5,5,4,14,66,68,E,E,162
2000400010045,355,198,98,0,0,5,3,22,45,37,D,D,113
2000400010064,95,47,21,0,0,3,0,0,17,15,D,D,40
2000500010023,"1,483",774,367,8,51,79,70,60,157,43,D,D,468
2000500010131,817,407,206,7,24,27,43,36,108,43,D,D,288
2000500010146,423,208,98,3,9,20,15,17,68,31,D,D,163
2000500010254,"1,237",645,298,24,38,54,67,64,125,44,D,D,416
2000500010269,"1,626",833,440,10,31,35,58,86,175,104,D,D,499
2000500010273,845,462,210,11,35,36,45,36,90,37,D,D,290
2000500010288,921,483,214,17,34,38,48,39,77,47,D,D,300
2000600010035,399,214,109,3,5,4,6,14,48,19,D,D,99
2000600010088,"1,916","1,011",533,9,18,25,51,54,227,94,D,D,478
2000600010092,"2,549","1,375",683,46,56,73,90,110,238,76,D,D,689
